Company,Website,CEO,CTO,Nationality,Description,Category,Amount_Raised,Round_Type,Date_Raised,Investors,Source
Toothy AI,https://www.toothy.ai/,,,United States,AI for insurance verification & billing at dental clinics,AI Healthcare,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Rocketable,https://www.rocketable.com,,,United States,The AI Maximalist Software Holding Company,AI Adjacent - Other,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Contrario,https://contrario.ai,,,United States,AI hiring platform powered by expert recruiters,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Serno,https://serno.ai,,,United States,Custom AI experts that map what one AI can't,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Truffle AI,https://www.trytruffle.ai/,,,India,AWS for AI Agents,AI Infrastructure,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
superglue,https://superglue.ai/,,,United States,AI that fixes enterprise glue,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Conntour,https://www.conntour.com/,,,United States,AI to monitor thousands of security cameras.,AI Security,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Closure,https://closure-intel.com/,,,United States,We help law enforcement solve crime,AI Legal,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Promptless,https://promptless.ai/,,,United States,An AI teammate that automatically updates your customer-facing docs,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Scout,https://scoutforschools.com/,,,United States,AI-powered student information system for K-12 schools,AI Education,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Vocality Health,https://www.vocalityhealth.com,,,United States,Voice AI for medical language translation,AI Voice & Audio,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Astro,https://www.astroenergy.ai/,,,United States,The world’s first AI energy developer,AI Adjacent - Other,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Dartboard Energy,https://dartboardenergy.com,,,United States,AI Analyst for Electricity Markets,AI Data & Analytics,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Karoo,https://www.karoo.ca,,,Canada,AI native consumer lending platform for underserved Americans,AI Finance,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
awen,https://www.awen.ai/,,,United States,awen translates intent into exceptional visuals through conversation,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Dollyglot,https://www.dollyglot.com/,,,United States,Character.AI with real time video avatars,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Alice.tech,https://www.alice.tech/,,,Europe,AI-driven exam prep,AI Education,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Stamp,https://www.stampmail.ai/,,,United States,The AI Secretary for Email and Calendar.,AI Productivity,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Bud,https://bud.app/,,,United States,Agent with a computer,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Hey Telo,https://www.heytelo.com,,,United States,Voice AI for Home Services,AI Voice & Audio,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Praxim,https://www.praxim.ai/,,,United States,The agentic AI Word editor,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Excellence Learning,https://excellence-ai.com/,,,United States,AI tutor starting with maths and science,AI Education,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Tweeks.io,https://tweeks.io,,,United States,Lovable for Chrome Plugins,AI Productivity,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Flowtel,https://flowtel.ai,,,United States,The AI Voice agents for hotels,AI Voice & Audio,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Leaping AI,https://www.leapingai.com,,,United States,AI voice and texting agents,AI Agents,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Vetnio,https://vetnio.com/,,,United States,AI Copilot that automates admin work for veterinary professionals,AI Healthcare,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Bild AI,https://www.bild.ai,,,United States,"AI estimating & detailing for Division 8 doors, frames & hardware",AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Outship,https://outship.ai,,,United States,Hire amazing engineers by seeing how they use AI,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Enhanced Radar,https://www.enhancedradar.com/,,,United States,AI for air traffic control,AI Enterprise Software,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Edexia,https://www.edexia.com/,,,United States,AI Teacher Assistant for Grading Essays,AI Education,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Quantstruct,https://quantstruct.com,,,United States,AI documentation engineer – test & autoimprove stale product docs,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Invo,https://www.tryinvo.com/,,,United States,infra for computer use agents,AI Infrastructure,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Onlook,https://onlook.com/,,,United States,Cursor for Designers,AI Developer Tools,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Delineate,https://delineate.pro/,,,United States,Agents for Accelerated Clinical Trial Design,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Exin Therapeutics,https://www.exintherapeutics.com/,,,United States,AI drug discovery platform for neurotherapeutics,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
YouShift,https://www.you-shift.com/,,,United States,The OS for hospital workforce management,AI Healthcare,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Overstand Labs,https://overstandlabs.com,,,United States,Navigate any set of data - no matter how large - in minutes.,AI Legal,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Sublingual,https://sublingual.ai/,,,United States,Daily productivity tracker,AI Productivity,YC Investment (~$500K),Seed (YC W25),2025-03,Y Combinator,YC API
Outerport,https://outerport.com,,,United States,AI Electromechanical Process Engineers for Heavy Industries,AI Robotics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
DreamRP,https://www.dreamrp.com/,,,United States,Tech and platforms for human creators and the entertainment industry,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Conductor,https://conductor.build,,,United States,Run a team of coding agents on your Mac,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Syntra,https://www.syntra.com,,,United States,Medical chart intelligence,AI Healthcare,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
PathPilot,https://www.getpathpilot.com/,,,United States,AI Agents for Lending Operations,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
SimCare,https://simcare.ai,,,United States,AI avatars to scale healthcare training.,AI Education,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Merlin AI,https://www.merlinai.co,,,United States,AI powered ERP for Construction,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Freestyle,https://www.freestyle.sh,,,United States,We run and deploy code your AI wrote,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Arva AI,https://www.arva.ai,,,United Kingdom,"AI Agents to scale AML, KYB and KYC operations",AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Affil.ai,https://affil.ai/,,,United States,AI Affiliate Network For Financial Companies,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Patched,https://patched.codes,,,United States,Reliable AI for Regulated Ops,AI Security,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Formula Insight,https://www.formulainsight.io/,,,United States,"Help Institutional Investors manage, track & query their Excel models",AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Overlap,https://www.overlap.ai,,,United States,Multimodal AI agents for video,AI Video & Media,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Capitol AI,https://www.capitol.ai/,,,United States,Capitol: the sovereign operating system for intelligence.,AI Data & Analytics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Void,https://useglass.ai,,,United States,The open source Cursor alternative,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Anglera,https://www.anglera.com/,,,United States,AI-Powered Product Data Enrichment,AI Data & Analytics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
BrowserOS,https://BrowserOS.com/,,,United States,The Open Source Agentic Browser,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Henry,http://www.henry.ai,,,United States,Automating Deal Decks for Commercial Real Estate Brokers,AI Productivity,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Ficra,https://ficra.ai/,,,United States,"Real time, source of truth for every product screen and user flow",AI Productivity,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Rowboat Labs,https://www.rowboatlabs.com,,,India,Open-source AI coworker with memory ,AI Productivity,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Pipeshift,https://pipeshift.com,,,United States,Ultra-low latency inference cloud for real-time workloads,AI Infrastructure,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Vera Health,https://www.vera-health.ai,,,United States,AI-powered clinical decision support for healthcare providers,AI Healthcare,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Pharos,https://pharos.health/,,,United States,Helping hospitals identify and prevent avoidable harm using AI,AI Healthcare,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
et al.,https://www.et-al.io,,,United Kingdom,Feed of insights extracted from your go-to sources using LLMs.,AI Productivity,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Keet,https://trykeet.com,,,United States,Authentication for AI Agents,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
No Logo,https://nologo.com/,,,United States,Turn ideas into physical products,AI Adjacent - Other,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Dayflow,https://www.dayflow.so,,,United States,"Generate a detailed log of everything you've worked on, automatically.",AI Productivity,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Usul,https://www.usul.com,,,United States,AI Platform for Winning Defense & Government Contracts,AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Bucket Robotics,https://bucket.bot,,,United States,Defect detection for manufacturing built from CAD and synthetic data.,AI Robotics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Oway,https://www.shipoway.com,,,United States,AI Infrastructure for America’s Empty Truck Space,AI Infrastructure,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Elayne,https://www.elayne.com/,,,United States,"Estate settlement, from verified discovery to distribution",AI Legal,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
pap!,https://joinpap.com/,,,United States,"Agents that earn consumers dollars when they shop, travel, and live.",AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
RentFlow,https://www.therentflow.com,,,United States,The AI infrastructure for cash-flow-aligned business rent,AI Infrastructure,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
TradeFlow,https://www.tradeflowai.com/,,,United States,AI-powered settlement for financial securities,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Voker,https://voker.ai,,,United States,The Agent Analytics Platform,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Rastro,https://rastro.ai,,,United Kingdom,The fastest way to launch product catalogs.,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Quetzal,https://getquetzal.com/,,,United States,"Simple, LLM-first translation and internationalization for software",AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Typa,https://typa.ai,,,United States,The content engine that wins attention and drives growth.,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
"Sterling Labs, Inc",https://www.drafttherecord.com/,,,United States,AI For Court Reporting,AI Productivity,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Orca Client,https://orcaclient.com,,,United States,"Orca lets you build, discover, and play Minecraft games with friends.",AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Assembly HOA,https://assemblyhoa.com,,,United States,AI-native HOA Management Company,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
autarc,https://www.autarc.energy/global,,,Germany,autarc is the agentic OS for energy installers.,AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Polymet,https://polymet.ai,,,United States,AI Product Designer,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Weel,https://weel.live/,,,United States,GPS & dashcam smartphone app,AI Adjacent - Other,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Propaya,https://www.propaya.com,,,United States,AI commercial lease abstractions and review,AI Legal,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Argil,https://www.argil.ai/,,,France,The video generation engine for the creator economy ,AI Video & Media,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
ZeroPath,https://zeropath.com,,,United States,Automatically find and fix your software vulnerabilities,AI Security,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Starcloud,https://www.starcloud.com/,,,United States,Data centers in space,AI Hardware,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Dataleap,https://dataleap.ai/,,,United States,AI Employees for the Enterprise,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Handled,https://www.itshandled.ai,,,United States,Automating post-order operations for e-commerce brands and 3PLs,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Rescript,https://rescript.ai/,,,United States,AI for Legal & Public Policy Teams,AI Legal,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
HeroUI,https://heroui.com,,,United States,The UI framework for AI agents and developers to build beautiful apps.,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Haystack,https://tryhaystack.dev/,,,United States,The agent-native control layer for code changes,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Finosu,https://www.finosu.com,,,United States,AI Native Consumer Loan Servicer,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Odo,https://useodo.com/,,,United States,Your email assistant because you deserve a better morning,AI Productivity,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Baseline AI,https://www.baselinetrials.com/,,,United States,AI document creation and data management for clinical trials,AI Healthcare,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Cartage,https://cartage.ai,,,United States,Autonomous freight coordination,AI Robotics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Refactor,https://refactor.co,,,United States,"Deploying secure and reliable AI agents across healthcare, retail,…",AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Palmier,https://www.palmier.io,,,United States,Video editor built for AI,AI Video & Media,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Simple AI,https://www.usesimple.ai,,,United States,AI voice that sells,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Sensei,https://senseirobotics.com,,,United States,Robotic Training Data at Scale,AI Robotics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Laminar,https://laminar.sh,,,United Kingdom,Understand why your AI agent breaks. Iterate fast to fix it.,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Presti AI,https://www.presti.ai/,,,United States,Helping furniture companies create product visuals with AI,AI Video & Media,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
The Forecasting Company,https://www.theforecastingcompany.com,,,France,Foundation models for time series,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Praxos,https://mypraxos.com,,,United States,Your personal AI companion,AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Zettascale,https://zscc.ai,,,United States,Energy efficient chips for AI,AI Hardware,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
SchemeFlow,https://www.schemeflow.com,,,United Kingdom,AI Report Generation for Engineering & Environmental Review,AI Data & Analytics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Brighterway,https://www.brighterway.ai/,,,United States,Streamlining the medical record review process in workers comp,AI Legal,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Soff,https://soff.ai,,,United States,AI Agents for Distributors,AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Parley,https://parley.so,,,United States,"Automating flat-fee legal work, starting with work visas + green cards",AI Legal,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Intryc,https://intryc.com,,,United States,Intryc uses AI to automate quality assurance for customer support,AI Data & Analytics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Ember Robotics,https://www.emberrobotics.com,,,United States,Datadog for robots,AI Robotics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Thunder Compute,https://www.thundercompute.com,,,United States,The world's cheapest GPU cloud,AI Infrastructure,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Kura AI,https://trykura.com,,,United States,New State of the Art for Browser Agents,AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Emergent,https://emergent.sh,,,United States,AI app builder that turns your ideas into monetizable software.,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Distro,https://distro.app,,,United States,The AI co-pilot for sales reps at industrial wholesale distributors.,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Mage Legal,https://magelegal.com,,,United States,Automatic AI Legal Diligence,AI Legal,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Pax,https://paxai.com/,,,United States,AI Broker for Tariff Refunds,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Conductor Quantum,https://www.conductorquantum.com,,,United States,AI that operates quantum computers for scientific discovery,AI Hardware,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Autumn Labs,https://www.autumnlabs.io/,,,United States,Datadog for industrial robots,AI Robotics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Opslane,https://opslane.com,,,United States,Verify AI-generated code before you ship it,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
winfunc,https://winfunc.com,,,United States,ai-native security engineering for mission critical codebases,AI Security,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Seals AI,https://www.hireseals.ai/,,,United States,AI Employees for Wholesalers & Distributors,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Drillbit,https://www.drillbit.com,,,United States,Automating Office Work for Residential Contractors.,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Sharpe,https://sharpe.sh,,,United States,Agents for quantitative research and financial data science.,AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Dimely,https://dimely.com/,,,United States,AI-Powered Spreadsheet for Billing Automation,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Redouble AI,https://redouble.ai/,,,United States,Java-native multi-agentic AI operating system for enterprise,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Planbase,https://www.joinplanbase.com/,,,United States,AI workforce management for healthcare ,AI Healthcare,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Anara,https://anara.com,,,United States,AI for researchers,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
MagiCode,https://www.magicode.ai/,,,United States,A Reliable AI Frontend Engineer,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
FINNY AI,https://www.finny.com/,,,United States,The organic growth engine for financial advisors ,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Vibe,https://vibe.codes,,,United States,Making everyone a software engineer,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
ReactWise,https://www.reactwise.com/,,,United Kingdom,AI Co-Pilot for Chemical Process Optimization,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Zoa Research,https://zoaresearch.com,,,United States,Powerful quantitative forecasting models,AI Data & Analytics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Saturn,https://www.SaturnOS.com,,,United Kingdom,Compliance and back office workflows for Wealth Managers.,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Clearly AI,https://clearly-ai.com,,,United States,Automate security and privacy reviews,AI Security,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Ontra Mobility,https://www.ontramobility.com,,,United States,Platform for cities to optimize transit ,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Aluna,https://alunadata.com,,,United States,Data for biomedical AI,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Panora,https://getpanora.com,,,United States,Turning messy inboxes into ERP-Ready Data,AI Data & Analytics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Manaflow,https://www.cmux.com,,,United States,Open source applied AI lab building next-gen devtools,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
CreativeMode,https://creativemode.net,,,United States,Lovable for Minecraft mods,AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Kastle,https://kastle.ai/,,,United States,AI agents for mortgage servicing,AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Anthrogen,https://anthrogen.com,,,United States,We're training the next generation of protein foundation models.,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Benchify,https://www.benchify.com,,,United States,Executable healthcare contracts,AI Healthcare,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Fazeshift,https://www.fazeshift.com/,,,United States,AI agent for Accounts Receivable,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
TaxGPT,https://www.taxgpt.com,,,United States,AI tax assistant for professionals and businesses,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Substrate,https://www.substrate.cc/,,,United States,Artificial Intelligence for your medical billing team,AI Healthcare,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Mito Health,https://mitohealth.com/,,,United States,At-cost lab testing marketplace that profits when you test less,AI Healthcare,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Lighthouz AI,https://lighthouz.ai/,,,United States,"Freight bill audits, AP, AR automation for freight brokers with…",AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Modus,https://himodus.com,,,United States,Unlock revenue per employee with AI-powered headcount management,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
d_model,https://www.dmodel.ai,,,United States,Look inside the model,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
LedgerUp,https://ledgerup.ai/,,,United States,AI agents that handles complex billing and revenue,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Plume,http://www.plumefinder.com,,,France,Renewable infrastructure deployment at scale.,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
AutoPallet Robotics,https://autopallet.bot,,,United States,We make robots that move boxes in warehouses,AI Robotics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Dench.com,https://dench.com,,,United States,Open Source AI CRM built on top of OpenClaw,AI Enterprise Software,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
AminoAnalytica,https://www.aminoanalytica.com,,,United Kingdom,The AI scientist for always-on biodefense,AI Biotech / Life Sciences,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Gauge,https://withgauge.com,,,United States,"Your marketing agent for organic, paid, and AI search.",AI Sales & Marketing,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Kenley,https://kenley.ai/,,,United Kingdom,AI Agents for Advisory & Financial Services.,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Tivara,https://tivara.com,,,United States,The AI workforce for medical groups,AI Healthcare,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
camfer,https://www.camfer.dev/,,,United States,Building the world’s first AI mechanical engineer.,AI Hardware,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
MinusX,https://minusx.ai,,,United States,Open source agentic BI for founders,AI Data & Analytics,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Lore,https://joinlore.app/,,,United States,Transform your iMessage conversations into shareable stories,Generative AI / Foundation Models,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Parahelp,https://parahelp.com/,,,United States,"The AI agent that resolves complex support tickets, effortlessly",AI Agents,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
CodeViz,https://www.codeviz.ai/,,,United States,One living model of your software architecture,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
RunLocal AI,https://runlocal.ai,,,United Kingdom,The first AI agent for optimizing ML model inference on edge hardware,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Dodo,https://www.dodo.ai/,,,United States,AI agents that handle communications for clinics,AI Healthcare,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Elevate,https://www.useelevate.dev/,,,United States,Automated AI data integrations for roll-ups,AI Finance,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Storia AI,https://storia.ai,,,United States,Open source AI copilot that knows your company's code and its context,AI Developer Tools,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
"DeepSim, Inc.",https://www.deepsim.io,,,United States,An AI physics simulator for AI chip design,AI Hardware,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Scape,https://scape.app,,,United States,AI-native CRM that captures all your conversations,AI Sales & Marketing,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
Zuni,https://zuni.app,,,United Kingdom,AI Assistant that works alongside you in your Chrome browser,AI Productivity,YC Investment (~$500K),Seed (YC S24),2024-09,Y Combinator,YC API
